id,temperatura,tempo_ciclo,producao,status
1,61.31,36.52,144.0,MANUTENCAO
2,77.98,36.7,171.0,OK
3,72.26,26.53,70.0,ok
4,57.95,23.74,110.0,ok
5,65.37,,76.0,PARADA
6,83.21,36.01,151.0,OK
7,50.59,,191.0,ok
8,66.57,31.82,150.0,ok
9,80.13,43.26,56.0,ok
10,63.07,34.14,125.0,OK
11,64.57,35.12,180.0,ok
12,69.24,33.84,199.0,parada
13,81.93,35.8,134.0,parada
14,,39.23,78.0,ok
15,66.45,38.99,197.0,MANUTENCAO
16,66.53,29.61,116.0,OK
17,87.65,erro,154.0,PARADA
18,87.49,28.43,143.0,MANUTENCAO
19,78.03,35.48,97.0,parada
20,73.09,33.35,152.0,OK
21,75.9,28.71,90.0,PARADA
22,81.93,34.55,172.0,parada
23,62.51,30.56,186.0,ok
24,79.41,35.44,72.0,ok
25,59.97,37.42,198.0,PARADA
26,64.9,43.83,158.0,OK
27,200.0,36.84,82.0,PARADA
28,58.57,31.33,186.0,PARADA
29,68.88,32.65,130.0,MANUTENCAO
30,63.11,35.84,119.0,ok
31,67.96,35.56,56.0,ok
32,47.61,43.76,177.0,parada
33,55.83,43.37,56.0,MANUTENCAO
34,64.4,32.85,170.0,ok
35,77.42,,163.0,MANUTENCAO
36,68.61,19.66,187.0,OK
37,70.02,31.71,153.0,MANUTENCAO
38,75.51,29.13,77.0,ok
39,62.96,32.87,95.0,PARADA
40,72.27,37.35,71.0,OK
41,63.56,36.06,70.0,OK
42,,,160.0,ok
43,66.87,36.2,81.0,MANUTENCAO
44,74.59,34.24,164.0,PARADA
45,72.71,36.18,119.0,ok
46,,15.61,103.0,OK
47,89.14,33.38,70.0,OK
48,73.3,erro,84.0,OK
49,77.83,32.95,72.0,OK
50,87.91,33.69,73.0,OK
51,59.65,,143.0,MANUTENCAO
52,61.69,31.41,,PARADA
53,83.95,,118.0,MANUTENCAO
54,63.62,39.13,176.0,PARADA
55,70.24,,174.0,MANUTENCAO
56,78.55,33.76,183.0,ok
57,200.0,34.48,101.0,OK
58,84.04,29.51,131.0,ok
59,81.97,34.43,149.0,PARADA
60,78.56,36.67,90.0,PARADA
61,63.82,38.48,109.0,parada
62,76.36,38.48,126.0,OK
63,72.51,33.35,168.0,OK
64,59.39,26.5,144.0,PARADA
65,81.34,,176.0,parada
66,76.46,erro,88.0,OK
67,70.36,40.38,171.0,OK
68,68.14,37.22,50.0,ok
69,,30.43,172.0,MANUTENCAO
70,71.6,35.02,69.0,parada
71,73.75,27.47,160.0,PARADA
72,,31.69,,MANUTENCAO
73,79.3,33.53,165.0,ok
74,61.22,32.83,143.0,PARADA
75,,40.74,169.0,PARADA
76,78.32,26.49,162.0,ok
77,66.77,29.81,52.0,OK
78,68.99,26.75,119.0,OK
79,63.3,27.58,114.0,MANUTENCAO
80,57.15,35.74,132.0,parada
81,80.04,25.4,87.0,OK
82,64.49,39.52,77.0,parada
83,83.29,33.52,96.0,PARADA
84,76.46,35.41,59.0,ok
85,,erro,137.0,MANUTENCAO
86,61.31,32.4,182.0,OK
87,64.14,41.19,190.0,MANUTENCAO
88,60.3,33.83,135.0,parada
89,86.7,38.56,83.0,ok
90,,33.81,161.0,parada
91,79.2,36.75,134.0,MANUTENCAO
92,59.86,36.68,52.0,PARADA
93,71.45,erro,57.0,PARADA
94,,,100.0,parada
95,67.32,37.62,71.0,ok
96,78.25,33.09,,parada
97,61.32,38.78,129.0,OK
98,59.09,22.09,173.0,ok
99,73.04,,77.0,ok
100,200.0,37.18,148.0,parada
101,75.14,46.18,155.0,ok
102,54.18,40.01,78.0,PARADA
103,,30.91,151.0,MANUTENCAO
104,90.79,24.85,127.0,PARADA
105,69.8,39.46,159.0,ok
106,200.0,34.52,53.0,MANUTENCAO
107,71.44,erro,179.0,OK
108,55.1,35.69,159.0,parada
109,73.41,erro,113.0,ok
110,57.16,52.75,78.0,parada
111,66.58,34.96,138.0,MANUTENCAO
112,79.94,34.04,144.0,parada
113,64.12,,64.0,ok
114,,31.5,146.0,ok
115,78.1,40.94,89.0,PARADA
116,72.23,32.88,193.0,parada
117,59.03,38.82,151.0,parada
118,67.34,,157.0,PARADA
119,85.68,42.31,83.0,PARADA
120,53.8,37.52,176.0,parada
121,,27.72,183.0,MANUTENCAO
122,65.58,27.04,152.0,MANUTENCAO
123,70.97,43.45,136.0,OK
124,75.99,31.35,163.0,PARADA
125,82.87,27.08,,MANUTENCAO
126,67.84,30.98,148.0,ok
127,76.5,,51.0,ok
128,74.0,,146.0,PARADA
129,73.79,29.8,75.0,ok
130,65.49,31.0,,OK
131,62.02,27.49,67.0,ok
132,61.2,27.89,147.0,OK
133,63.95,25.89,79.0,parada
134,72.57,32.23,157.0,ok
135,76.09,32.87,72.0,ok
136,72.59,30.9,97.0,MANUTENCAO
137,65.61,25.08,176.0,parada
138,,42.52,72.0,PARADA
139,,27.03,89.0,PARADA
140,67.17,36.67,113.0,OK
141,63.41,28.55,121.0,ok
142,,erro,191.0,ok
143,80.14,40.73,173.0,ok
144,72.66,,159.0,MANUTENCAO
145,74.45,23.46,127.0,PARADA
146,68.3,39.17,51.0,ok
147,73.65,46.25,171.0,parada
148,82.36,37.49,53.0,PARADA
149,68.08,35.96,149.0,parada
150,71.15,39.92,58.0,parada
24,200.0,35.44,72.0,ok
32,47.61,43.76,177.0,parada
105,69.8,erro,159.0,ok
130,65.49,31.0,93.0,OK
66,76.46,44.67,88.0,OK
7,50.59,,191.0,ok
19,78.03,35.48,97.0,parada
129,73.79,29.8,75.0,ok
18,87.49,28.43,143.0,MANUTENCAO
82,64.49,39.52,77.0,parada
